percentage(no padding),percentage(padding),overflow,compress(ms),decompress(ms),correctness(1/0)
0.8898,0.8898,0.8017,0.189,0.189,1
0.9177,0.9177,0.7565,0.142,0.162,1
0.8938,0.8938,0.7953,0.184,0.196,1
0.8659,0.8659,0.8405,0.187,0.181,1
0.9482,0.9482,0.5388,0.188,0.145,1
0.8154,0.8154,0.3233,0.181,0.191,1
0.929,0.929,0.7381,0.198,0.183,1
0.8944,0.8944,0.7942,0.199,0.19,1
0.8752,0.8752,0.8254,0.179,0.191,1
0.9641,0.9641,0.681,0.192,0.181,1
0.9807,0.9807,0.6541,0.186,0.159,1
0.913,0.913,0.4817,0.12,0.158,1
0.9316,0.9316,0.7338,0.19,0.162,1
0.8951,0.8951,0.7931,0.182,0.206,1
0.7862,0.7862,0.2759,0.189,0.186,1
0.919,0.919,0.7543,0.191,0.18,1
0.8951,0.8951,0.7931,0.191,0.192,1
0.8679,0.8679,0.8373,0.186,0.2,1
0.8672,0.8672,0.4073,0.197,0.192,1
0.9064,0.9064,0.7748,0.188,0.187,1
0.9064,0.9064,0.7748,0.186,0.179,1
0.9548,0.9548,0.6961,0.2,0.184,1
0.8625,0.8625,0.3998,0.185,0.195,1
0.9104,0.9104,0.7683,0.19,0.201,1
0.8898,0.8898,0.8017,0.182,0.186,1
0.9402,0.9402,0.7198,0.187,0.182,1
0.8699,0.8699,0.8341,0.186,0.202,1
0.7576,0.7576,0.2295,0.189,0.181,1
0.909,0.909,0.7705,0.187,0.199,1
0.8692,0.8692,0.8351,0.19,0.151,1
0.9781,0.9781,0.6584,0.195,0.187,1
0.8904,0.8904,0.8006,0.195,0.189,1
0.8891,0.8891,0.8028,0.209,0.191,1
0.9834,0.9834,0.6498,0.189,0.204,1
0.755,0.755,0.2252,0.187,0.188,1
0.9847,0.9847,0.6476,0.192,0.184,1
0.9177,0.9177,0.7565,0.202,0.182,1
0.8732,0.8732,0.8287,0.12,0.158,1
0.8991,0.8991,0.7866,0.122,0.15,1
0.9568,0.9568,0.6929,0.181,0.188,1
0.8572,0.8572,0.3912,0.191,0.182,1
0.9084,0.9084,0.7716,0.185,0.196,1
0.8612,0.8612,0.8481,0.192,0.155,1
0.8931,0.8931,0.4494,0.196,0.183,1
0.9017,0.9017,0.7823,0.183,0.194,1
0.9057,0.9057,0.7759,0.186,0.186,1
0.9475,0.9475,0.708,0.191,0.183,1
0.7656,0.7656,0.2425,0.187,0.193,1
0.8964,0.8964,0.7909,0.192,0.195,1
0.9031,0.9031,0.7802,0.185,0.158,1
0.8772,0.8772,0.8222,0.183,0.188,1
0.7776,0.7776,0.2619,0.197,0.18,1
0.9064,0.9064,0.7748,0.198,0.188,1
0.8865,0.8865,0.8071,0.19,0.19,1
0.8552,0.8552,0.8578,0.188,0.204,1
0.9117,0.9117,0.7662,0.187,0.155,1
0.8865,0.8865,0.8071,0.184,0.189,1
0.8546,0.8546,0.8588,0.185,0.19,1
0.7981,0.7981,0.2953,0.154,0.165,1
0.8293,0.8293,0.3459,0.151,0.187,1
0.9303,0.9303,0.736,0.194,0.19,1
0.8918,0.8918,0.7985,0.17,0.161,1
0.8592,0.8592,0.8513,0.182,0.199,1
0.9515,0.9515,0.7015,0.179,0.181,1
0.8938,0.8938,0.7953,0.192,0.188,1
0.8785,0.8785,0.82,0.19,0.191,1
0.9635,0.9635,0.6821,0.168,0.159,1
0.7131,0.7131,0.1573,0.189,0.183,1
0.9243,0.9243,0.7457,0.196,0.168,1
0.8977,0.8977,0.7888,0.19,0.163,1
0.8672,0.8672,0.8384,0.151,0.188,1
0.9462,0.9462,0.5356,0.134,0.158,1
0.9216,0.9216,0.75,0.192,0.149,1
0.8851,0.8851,0.8093,0.139,0.153,1
0.8865,0.8865,0.8071,0.188,0.149,1
0.7815,0.7815,0.2683,0.192,0.192,1
0.8632,0.8632,0.4009,0.178,0.192,1
0.9024,0.9024,0.7812,0.189,0.167,1
0.8845,0.8845,0.8103,0.195,0.19,1
0.9349,0.9349,0.7284,0.197,0.181,1
0.8991,0.8991,0.4591,0.2,0.191,1
0.9177,0.9177,0.7565,0.196,0.19,1
0.8938,0.8938,0.7953,0.197,0.19,1
0.9695,0.9695,0.6724,0.205,0.183,1
0.9236,0.9236,0.7468,0.114,0.165,1
0.905,0.905,0.7769,0.188,0.183,1
0.8632,0.8632,0.8448,0.168,0.192,1
0.8274,0.8274,0.3427,0.165,0.167,1
0.9648,0.9648,0.68,0.127,0.154,1
0.8871,0.8871,0.806,0.185,0.188,1
0.8818,0.8818,0.8147,0.185,0.196,1
0.9635,0.9635,0.5636,0.198,0.191,1
0.9495,0.9495,0.5409,0.169,0.16,1
0.9097,0.9097,0.7694,0.176,0.188,1
0.8851,0.8851,0.8093,0.192,0.161,1
0.9077,0.9077,0.7726,0.183,0.169,1
0.8267,0.8267,0.3416,0.186,0.191,1
0.9004,0.9004,0.7845,0.191,0.191,1
0.8964,0.8964,0.7909,0.206,0.183,1
0.7822,0.7822,0.2694,0.186,0.189,1
0.8931,0.8931,0.7963,0.122,0.15,1
0.8838,0.8838,0.4343,0.18,0.186,1
0.9216,0.9216,0.75,0.188,0.188,1
0.8891,0.8891,0.8028,0.191,0.18,1
0.9422,0.9422,0.7166,0.119,0.153,1
0.9309,0.9309,0.7349,0.186,0.199,1
0.8572,0.8572,0.8545,0.188,0.197,1
0.7762,0.7762,0.2597,0.19,0.186,1
0.9309,0.9309,0.7349,0.118,0.159,1
0.9223,0.9223,0.7489,0.186,0.186,1
0.8758,0.8758,0.8244,0.185,0.187,1
0.8672,0.8672,0.4073,0.19,0.182,1
0.913,0.913,0.764,0.184,0.189,1
0.9522,0.9522,0.5453,0.189,0.187,1
0.9436,0.9436,0.7144,0.189,0.191,1
0.9004,0.9004,0.7845,0.189,0.187,1
0.8679,0.8679,0.8373,0.14,0.16,1
0.7875,0.7875,0.278,0.189,0.188,1
0.9177,0.9177,0.7565,0.182,0.187,1
0.907,0.907,0.7737,0.187,0.189,1
0.8918,0.8918,0.7985,0.184,0.193,1
0.9349,0.9349,0.5172,0.188,0.219,1
0.9044,0.9044,0.778,0.184,0.186,1
0.8639,0.8639,0.8438,0.186,0.195,1
0.9469,0.9469,0.5366,0.169,0.185,1
0.9031,0.9031,0.7802,0.195,0.19,1
0.8951,0.8951,0.7931,0.181,0.191,1
0.9044,0.9044,0.4677,0.184,0.184,1
0.9163,0.9163,0.7586,0.188,0.19,1
0.9489,0.9489,0.7058,0.185,0.198,1
0.905,0.905,0.4688,0.199,0.182,1
0.9137,0.9137,0.7629,0.184,0.189,1
0.8752,0.8752,0.8254,0.205,0.18,1
0.9369,0.9369,0.7252,0.194,0.188,1
0.8871,0.8871,0.806,0.189,0.192,1
0.9482,0.9482,0.5388,0.187,0.202,1
0.54,0.54,0.6153,0.186,0.186,1
0.9615,0.9615,0.6853,0.187,0.183,1
0.9309,0.9309,0.7349,0.186,0.19,1
0.8964,0.8964,0.7909,0.214,0.195,1
0.8845,0.8845,0.8103,0.182,0.152,1
0.919,0.919,0.4914,0.17,0.201,1
0.909,0.909,0.7705,0.121,0.166,1
0.9343,0.9343,0.5162,0.189,0.19,1
0.8918,0.8918,0.7985,0.184,0.157,1
0.907,0.907,0.7737,0.138,0.151,1
0.7789,0.7789,0.264,0.186,0.184,1
0.907,0.907,0.7737,0.197,0.182,1
0.8798,0.8798,0.8179,0.187,0.199,1
0.8825,0.8825,0.8136,0.189,0.191,1
0.7988,0.7988,0.2963,0.192,0.15,1
0.915,0.915,0.7608,0.197,0.187,1
0.8878,0.8878,0.805,0.196,0.191,1
0.87,0.87,0.6207,0.204,0.187,1
0.9243,0.9243,0.7457,0.192,0.177,1
0.8924,0.8924,0.7974,0.188,0.184,1
0.8672,0.8672,0.8384,0.188,0.166,1
0.9475,0.9475,0.5377,0.203,0.183,1
0.8772,0.8772,0.8222,0.185,0.199,1
0.8008,0.8008,0.2996,0.173,0.193,1
0.8991,0.8991,0.7866,0.187,0.19,1
0.8499,0.8499,0.8664,0.187,0.198,1
0.9037,0.9037,0.7791,0.181,0.185,1
0.8911,0.8911,0.7996,0.186,0.188,1
0.8672,0.8672,0.8384,0.192,0.187,1
0.7716,0.7716,0.2522,0.197,0.197,1
0.9177,0.9177,0.7565,0.184,0.198,1
0.8625,0.8625,0.8459,0.194,0.182,1
0.753,0.753,0.222,0.196,0.192,1
0.8659,0.8659,0.8405,0.189,0.176,1
0.9177,0.9177,0.7565,0.199,0.197,1
0.9004,0.9004,0.7845,0.193,0.193,1
0.9555,0.9555,0.695,0.183,0.197,1
0.8838,0.8838,0.4343,0.179,0.197,1
0.9329,0.9329,0.7317,0.204,0.193,1
0.9768,0.9768,0.5851,0.196,0.155,1
0.929,0.929,0.7381,0.126,0.163,1
0.8632,0.8632,0.8448,0.183,0.147,1
0.9582,0.9582,0.6907,0.136,0.186,1
0.8931,0.8931,0.4494,0.195,0.19,1
0.9097,0.9097,0.7694,0.187,0.188,1
0.9183,0.9183,0.7554,0.194,0.187,1
0.9197,0.9197,0.4925,0.186,0.182,1
0.9243,0.9243,0.7457,0.188,0.188,1
0.9143,0.9143,0.7619,0.197,0.184,1
0.8831,0.8831,0.8125,0.182,0.196,1
0.9714,0.9714,0.5765,0.114,0.157,1
0.8732,0.8732,0.8287,0.198,0.188,1
0.8101,0.8101,0.3147,0.189,0.169,1
0.9077,0.9077,0.7726,0.193,0.197,1
0.8851,0.8851,0.8093,0.196,0.166,1
0.8772,0.8772,0.4235,0.173,0.186,1
0.925,0.925,0.7446,0.191,0.154,1
0.8931,0.8931,0.7963,0.193,0.189,1
0.919,0.919,0.7543,0.197,0.191,1
0.9887,0.9887,0.6412,0.198,0.153,1
0.9562,0.9562,0.694,0.18,0.187,1
0.9329,0.9329,0.7317,0.19,0.185,1
0.9382,0.9382,0.7231,0.198,0.153,1
0.9064,0.9064,0.7748,0.191,0.182,1
0.8081,0.8081,0.3114,0.195,0.219,1
0.927,0.927,0.7414,0.19,0.19,1
0.8851,0.8851,0.8093,0.191,0.189,1
0.8977,0.8977,0.7888,0.188,0.195,1
0.9057,0.9057,0.7759,0.183,0.196,1
0.8619,0.8619,0.3987,0.19,0.187,1
0.9602,0.9602,0.6875,0.195,0.19,1
0.8958,0.8958,0.792,0.195,0.185,1
0.8971,0.8971,0.4558,0.193,0.187,1
0.9097,0.9097,0.7694,0.194,0.195,1
0.9064,0.9064,0.7748,0.194,0.188,1
0.9542,0.9542,0.6972,0.188,0.189,1
0.7736,0.7736,0.2554,0.189,0.182,1
0.9223,0.9223,0.7489,0.202,0.221,1
0.9017,0.9017,0.7823,0.193,0.192,1
0.9369,0.9369,0.7252,0.183,0.163,1
0.8519,0.8519,0.8631,0.185,0.19,1
0.7882,0.7882,0.2791,0.183,0.188,1
0.927,0.927,0.7414,0.188,0.189,1
0.9781,0.9781,0.6584,0.133,0.163,1
0.9163,0.9163,0.7586,0.182,0.169,1
0.8745,0.8745,0.8265,0.185,0.183,1
0.9681,0.9681,0.5711,0.182,0.166,1
0.9011,0.9011,0.7834,0.193,0.189,1
0.8851,0.8851,0.8093,0.184,0.181,1
0.7762,0.7762,0.2597,0.168,0.187,1
0.8958,0.8958,0.792,0.184,0.184,1
0.8792,0.8792,0.819,0.123,0.161,1
0.9469,0.9469,0.7091,0.184,0.19,1
0.8121,0.8121,0.3179,0.166,0.187,1
0.8984,0.8984,0.7877,0.181,0.152,1
0.8811,0.8811,0.8157,0.185,0.182,1
0.9309,0.9309,0.7349,0.194,0.184,1
0.9369,0.9369,0.5205,0.185,0.147,1
0.925,0.925,0.7446,0.19,0.182,1
0.8699,0.8699,0.8341,0.187,0.185,1
0.9555,0.9555,0.695,0.194,0.164,1
0.9183,0.9183,0.7554,0.187,0.187,1
0.925,0.925,0.5011,0.188,0.19,1
0.8951,0.8951,0.7931,0.183,0.19,1
0.9701,0.9701,0.6713,0.187,0.187,1
0.8738,0.8738,0.4181,0.188,0.187,1
0.9177,0.9177,0.7565,0.188,0.185,1
0.8851,0.8851,0.8093,0.189,0.169,1
0.9329,0.9329,0.7317,0.185,0.182,1
0.9124,0.9124,0.7651,0.186,0.187,1
0.9004,0.9004,0.7845,0.12,0.152,1
0.8984,0.8984,0.7877,0.183,0.19,1
0.7935,0.7935,0.2877,0.188,0.184,1
0.759,0.759,0.2317,0.187,0.191,1
0.927,0.927,0.7414,0.188,0.187,1
0.9356,0.9356,0.7274,0.185,0.197,1
0.8566,0.8566,0.8556,0.187,0.189,1
0.9456,0.9456,0.7112,0.188,0.19,1
0.905,0.905,0.7769,0.116,0.17,1
0.8958,0.8958,0.792,0.182,0.165,1
0.9495,0.9495,0.5409,0.188,0.192,1
0.8393,0.8393,0.3621,0.187,0.201,1
0.9077,0.9077,0.7726,0.183,0.186,1
0.9004,0.9004,0.7845,0.188,0.183,1
0.8586,0.8586,0.8524,0.194,0.186,1
0.9602,0.9602,0.6875,0.19,0.182,1
0.7955,0.7955,0.2909,0.177,0.192,1
0.9163,0.9163,0.7586,0.192,0.192,1
0.9077,0.9077,0.7726,0.182,0.183,1
0.8805,0.8805,0.8168,0.141,0.164,1
0.8891,0.8891,0.4429,0.19,0.185,1
0.9143,0.9143,0.7619,0.184,0.19,1
0.8898,0.8898,0.8017,0.121,0.164,1
0.9781,0.9781,0.6584,0.188,0.191,1
0.8798,0.8798,0.4278,0.188,0.198,1
0.9143,0.9143,0.7619,0.187,0.192,1
0.9084,0.9084,0.7716,0.165,0.2,1
0.9469,0.9469,0.7091,0.184,0.184,1
0.909,0.909,0.4752,0.182,0.19,1
0.905,0.905,0.7769,0.181,0.188,1
0.8891,0.8891,0.8028,0.189,0.189,1
0.9409,0.9409,0.7188,0.189,0.195,1
0.8785,0.8785,0.82,0.19,0.18,1
0.8552,0.8552,0.3879,0.183,0.182,1
0.8904,0.8904,0.8006,0.198,0.184,1
0.9462,0.9462,0.7101,0.184,0.194,1
0.921,0.921,0.7511,0.183,0.183,1
0.8904,0.8904,0.8006,0.184,0.185,1
0.7563,0.7563,0.2274,0.191,0.19,1
0.8718,0.8718,0.8308,0.184,0.16,1
0.8938,0.8938,0.4504,0.181,0.182,1
0.907,0.907,0.7737,0.187,0.163,1
0.909,0.909,0.7705,0.192,0.191,1
0.8938,0.8938,0.7953,0.188,0.182,1
0.9177,0.9177,0.4892,0.19,0.196,1
0.909,0.909,0.7705,0.183,0.186,1
0.8898,0.8898,0.8017,0.19,0.194,1
0.9216,0.9216,0.4957,0.189,0.185,1
0.8659,0.8659,0.8405,0.187,0.163,1
0.8738,0.8738,0.4181,0.169,0.185,1
0.9097,0.9097,0.7694,0.187,0.184,1
0.9137,0.9137,0.7629,0.189,0.21,1
0.9821,0.9821,0.6519,0.191,0.185,1
0.7709,0.7709,0.2511,0.174,0.186,1
0.9263,0.9263,0.7425,0.187,0.189,1
0.8858,0.8858,0.8082,0.191,0.19,1
0.8699,0.8699,0.8341,0.182,0.193,1
0.8665,0.8665,0.4062,0.188,0.187,1
0.915,0.915,0.7608,0.184,0.19,1
0.8738,0.8738,0.8276,0.15,0.152,1
0.9509,0.9509,0.7026,0.188,0.192,1
0.9137,0.9137,0.7629,0.209,0.18,1
0.8891,0.8891,0.8028,0.197,0.172,1
0.7849,0.7849,0.2737,0.187,0.158,1
0.8519,0.8519,0.8631,0.159,0.187,1
0.9037,0.9037,0.4666,0.185,0.194,1
0.9017,0.9017,0.7823,0.199,0.192,1
0.9004,0.9004,0.7845,0.173,0.167,1
0.9495,0.9495,0.7047,0.198,0.181,1
0.9548,0.9548,0.5496,0.196,0.187,1
0.9343,0.9343,0.7295,0.187,0.193,1
0.8944,0.8944,0.7942,0.195,0.188,1
0.8718,0.8718,0.8308,0.201,0.164,1
0.6507,0.6507,0.05603,0.183,0.194,1
0.9077,0.9077,0.7726,0.189,0.184,1
0.8931,0.8931,0.7963,0.187,0.187,1
0.8738,0.8738,0.8276,0.197,0.186,1
0.8984,0.8984,0.7877,0.195,0.197,1
0.8566,0.8566,0.3901,0.186,0.184,1
0.9057,0.9057,0.7759,0.186,0.188,1
0.8738,0.8738,0.8276,0.188,0.188,1
0.9588,0.9588,0.6897,0.19,0.193,1
0.7869,0.7869,0.2769,0.145,0.185,1
0.9024,0.9024,0.7812,0.185,0.196,1
0.8938,0.8938,0.7953,0.186,0.189,1
0.8765,0.8765,0.8233,0.139,0.152,1
0.9243,0.9243,0.5,0.189,0.182,1
0.54,0.54,0.6304,0.185,0.19,1
0.9017,0.9017,0.7823,0.19,0.188,1
0.9389,0.9389,0.722,0.194,0.183,1
0.9602,0.9602,0.5582,0.187,0.163,1
0.9124,0.9124,0.7651,0.191,0.186,1
0.8865,0.8865,0.8071,0.186,0.2,1
0.9416,0.9416,0.7177,0.186,0.182,1
0.9177,0.9177,0.7565,0.186,0.186,1
0.8838,0.8838,0.8114,0.185,0.182,1
0.9343,0.9343,0.5162,0.182,0.163,1
0.9695,0.9695,0.5733,0.187,0.189,1
0.9024,0.9024,0.4644,0.122,0.159,1
0.9495,0.9495,0.7047,0.171,0.188,1
0.8845,0.8845,0.8103,0.186,0.184,1
0.8738,0.8738,0.8276,0.187,0.185,1
0.9568,0.9568,0.5528,0.193,0.194,1
0.9814,0.9814,0.5927,0.201,0.187,1
0.9077,0.9077,0.7726,0.198,0.185,1
0.8592,0.8592,0.8513,0.189,0.19,1
0.9303,0.9303,0.736,0.189,0.182,1
0.8944,0.8944,0.7942,0.189,0.187,1
0.9575,0.9575,0.5539,0.193,0.191,1
0.9748,0.9748,0.5819,0.189,0.196,1
0.8672,0.8672,0.8384,0.188,0.19,1
0.8606,0.8606,0.8491,0.189,0.182,1
0.7908,0.7908,0.2834,0.194,0.191,1
0.9124,0.9124,0.7651,0.191,0.191,1
0.8785,0.8785,0.82,0.187,0.188,1
0.7855,0.7855,0.2748,0.188,0.187,1
0.9077,0.9077,0.7726,0.185,0.192,1
0.8851,0.8851,0.8093,0.183,0.18,1
0.8752,0.8752,0.8254,0.187,0.186,1
0.7928,0.7928,0.2866,0.158,0.187,1
0.913,0.913,0.764,0.198,0.171,1
0.8865,0.8865,0.8071,0.186,0.167,1
0.9004,0.9004,0.7845,0.181,0.186,1
0.8758,0.8758,0.4213,0.192,0.189,1
0.9084,0.9084,0.7716,0.187,0.185,1
0.8778,0.8778,0.8211,0.195,0.185,1
0.9588,0.9588,0.6897,0.117,0.195,1
0.9183,0.9183,0.4903,0.187,0.191,1
0.9542,0.9542,0.6972,0.193,0.183,1
0.9203,0.9203,0.7522,0.184,0.171,1
0.8738,0.8738,0.8276,0.196,0.189,1
0.9469,0.9469,0.7091,0.187,0.168,1
0.8825,0.8825,0.8136,0.191,0.191,1
0.9841,0.9841,0.597,0.19,0.155,1
0.9422,0.9422,0.5291,0.189,0.186,1
0.8931,0.8931,0.7963,0.19,0.196,1
0.8851,0.8851,0.4364,0.187,0.179,1
0.9044,0.9044,0.778,0.187,0.194,1
0.8904,0.8904,0.8006,0.188,0.186,1
0.927,0.927,0.5043,0.184,0.165,1
0.911,0.911,0.7672,0.117,0.195,1
0.9084,0.9084,0.7716,0.186,0.189,1
0.8519,0.8519,0.8631,0.184,0.183,1
0.9515,0.9515,0.5442,0.185,0.151,1
0.8718,0.8718,0.4149,0.187,0.187,1
0.9416,0.9416,0.7177,0.188,0.187,1
0.8831,0.8831,0.8125,0.132,0.198,1
0.9515,0.9515,0.7015,0.184,0.192,1
0.8679,0.8679,0.4084,0.188,0.183,1
0.9084,0.9084,0.7716,0.189,0.186,1
0.8951,0.8951,0.7931,0.191,0.181,1
0.9323,0.9323,0.7328,0.19,0.195,1
0.9814,0.9814,0.5927,0.191,0.187,1
0.9303,0.9303,0.736,0.146,0.185,1
0.9163,0.9163,0.7586,0.183,0.192,1
0.9675,0.9675,0.6756,0.185,0.189,1
0.9376,0.9376,0.7241,0.188,0.196,1
0.9402,0.9402,0.5259,0.187,0.197,1
0.8997,0.8997,0.7856,0.188,0.153,1
0.905,0.905,0.7769,0.182,0.187,1
0.7716,0.7716,0.2522,0.189,0.184,1
0.921,0.921,0.7511,0.187,0.18,1
0.8811,0.8811,0.8157,0.196,0.184,1
0.8745,0.8745,0.8265,0.185,0.188,1
0.7915,0.7915,0.2845,0.189,0.184,1
0.9197,0.9197,0.7532,0.113,0.16,1
0.907,0.907,0.7737,0.117,0.156,1
0.8599,0.8599,0.8502,0.189,0.186,1
0.9548,0.9548,0.6961,0.195,0.187,1
0.8964,0.8964,0.7909,0.189,0.198,1
0.8831,0.8831,0.8125,0.195,0.182,1
0.7802,0.7802,0.2662,0.187,0.212,1
0.8752,0.8752,0.8254,0.191,0.187,1
0.7576,0.7576,0.2295,0.155,0.199,1
0.8964,0.8964,0.7909,0.194,0.183,1
0.917,0.917,0.7575,0.195,0.188,1
0.8639,0.8639,0.8438,0.187,0.179,1
0.911,0.911,0.7672,0.187,0.181,1
0.8659,0.8659,0.8405,0.155,0.19,1
0.8015,0.8015,0.3006,0.185,0.188,1
0.8831,0.8831,0.8125,0.186,0.201,1
0.8918,0.8918,0.4472,0.186,0.181,1
0.9084,0.9084,0.7716,0.196,0.2,1
0.8891,0.8891,0.8028,0.182,0.191,1
0.9416,0.9416,0.7177,0.182,0.186,1
0.9157,0.9157,0.7597,0.188,0.185,1
0.8964,0.8964,0.7909,0.187,0.188,1
0.988,0.988,0.6422,0.188,0.186,1
0.9143,0.9143,0.4838,0.196,0.189,1
0.911,0.911,0.7672,0.187,0.182,1
0.9469,0.9469,0.5366,0.189,0.147,1
0.9788,0.9788,0.5884,0.191,0.182,1
0.8699,0.8699,0.8341,0.185,0.197,1
0.8625,0.8625,0.8459,0.197,0.167,1
0.9064,0.9064,0.7748,0.119,0.151,1
0.9529,0.9529,0.5463,0.192,0.188,1
0.911,0.911,0.7672,0.152,0.195,1
0.9462,0.9462,0.5356,0.184,0.197,1
0.915,0.915,0.7608,0.191,0.188,1
0.8984,0.8984,0.7877,0.191,0.199,1
0.8785,0.8785,0.82,0.186,0.187,1
0.9363,0.9363,0.5194,0.188,0.182,1
0.8951,0.8951,0.4526,0.159,0.157,1
0.9216,0.9216,0.75,0.184,0.192,1
0.8825,0.8825,0.8136,0.19,0.152,1
0.913,0.913,0.764,0.188,0.182,1
0.9004,0.9004,0.7845,0.216,0.158,1
0.8745,0.8745,0.8265,0.19,0.187,1
0.7437,0.7437,0.2069,0.194,0.191,1
0.8732,0.8732,0.8287,0.191,0.187,1
0.9256,0.9256,0.7435,0.189,0.208,1
0.9137,0.9137,0.4828,0.182,0.2,1
0.9349,0.9349,0.7284,0.187,0.196,1
0.9615,0.9615,0.6853,0.191,0.187,1
0.8672,0.8672,0.4073,0.161,0.171,1
0.927,0.927,0.7414,0.181,0.199,1
0.8778,0.8778,0.8211,0.207,0.197,1
0.8785,0.8785,0.82,0.191,0.194,1
0.929,0.929,0.7381,0.189,0.196,1
0.8586,0.8586,0.3933,0.162,0.183,1
0.8938,0.8938,0.7953,0.141,0.164,1
0.8592,0.8592,0.8513,0.196,0.186,1
0.9548,0.9548,0.6961,0.192,0.184,1
0.9216,0.9216,0.75,0.192,0.18,1
0.8997,0.8997,0.7856,0.134,0.163,1
0.7756,0.7756,0.2586,0.187,0.194,1
0.8712,0.8712,0.8319,0.153,0.165,1
0.9177,0.9177,0.4892,0.156,0.164,1
0.9143,0.9143,0.7619,0.182,0.198,1
0.8858,0.8858,0.8082,0.185,0.19,1
0.9356,0.9356,0.7274,0.183,0.187,1
0.8904,0.8904,0.8006,0.186,0.187,1
0.905,0.905,0.7769,0.133,0.163,1
0.8871,0.8871,0.806,0.183,0.183,1
0.7995,0.7995,0.2974,0.193,0.182,1
0.7875,0.7875,0.278,0.187,0.188,1
0.9223,0.9223,0.7489,0.191,0.18,1
0.909,0.909,0.7705,0.188,0.185,1
0.8831,0.8831,0.8125,0.189,0.198,1
0.8924,0.8924,0.4483,0.199,0.193,1
0.9077,0.9077,0.7726,0.118,0.157,1
0.9017,0.9017,0.7823,0.18,0.195,1
0.927,0.927,0.7414,0.181,0.192,1
0.9011,0.9011,0.4623,0.121,0.154,1
0.9077,0.9077,0.7726,0.201,0.157,1
0.8918,0.8918,0.7985,0.196,0.185,1
0.9263,0.9263,0.7425,0.201,0.193,1
0.9615,0.9615,0.6853,0.19,0.2,1
0.9821,0.9821,0.6519,0.208,0.164,1
0.8984,0.8984,0.7877,0.188,0.187,1
0.909,0.909,0.7705,0.187,0.193,1
0.929,0.929,0.7381,0.2,0.182,1
0.8838,0.8838,0.8114,0.189,0.201,1
0.8068,0.8068,0.3093,0.16,0.159,1
0.915,0.915,0.7608,0.192,0.183,1
0.9369,0.9369,0.7252,0.203,0.186,1
0.9847,0.9847,0.5981,0.184,0.195,1
0.905,0.905,0.7769,0.193,0.189,1
0.8831,0.8831,0.8125,0.187,0.145,1
0.9456,0.9456,0.7112,0.196,0.184,1
0.9183,0.9183,0.7554,0.19,0.187,1
0.9223,0.9223,0.7489,0.183,0.192,1
0.8938,0.8938,0.7953,0.211,0.196,1
0.7789,0.7789,0.264,0.199,0.184,1
0.9814,0.9814,0.5927,0.208,0.163,1
0.9104,0.9104,0.7683,0.119,0.156,1
0.8938,0.8938,0.7953,0.199,0.181,1
0.9681,0.9681,0.6746,0.198,0.182,1
0.925,0.925,0.5011,0.118,0.163,1
0.9137,0.9137,0.7629,0.186,0.196,1
0.905,0.905,0.7769,0.183,0.193,1
0.9675,0.9675,0.6756,0.206,0.182,1
0.907,0.907,0.472,0.203,0.188,1
0.9084,0.9084,0.7716,0.198,0.195,1
0.8798,0.8798,0.8179,0.154,0.161,1
0.9376,0.9376,0.7241,0.184,0.185,1
0.923,0.923,0.4978,0.182,0.186,1
0.929,0.929,0.7381,0.197,0.182,1
0.8785,0.8785,0.82,0.16,0.213,1
0.919,0.919,0.7543,0.194,0.199,1
0.9243,0.9243,0.5,0.189,0.186,1
0.907,0.907,0.7737,0.19,0.191,1
0.8858,0.8858,0.8082,0.186,0.189,1
0.911,0.911,0.7672,0.127,0.166,1
0.9688,0.9688,0.6735,0.201,0.182,1
0.925,0.925,0.7446,0.196,0.193,1
0.9841,0.9841,0.6487,0.182,0.17,1
0.8586,0.8586,0.8524,0.192,0.188,1
0.9263,0.9263,0.7425,0.188,0.191,1
0.915,0.915,0.4849,0.119,0.163,1
0.909,0.909,0.7705,0.166,0.19,1
0.8971,0.8971,0.7899,0.199,0.186,1
0.9177,0.9177,0.7565,0.187,0.187,1
0.911,0.911,0.7672,0.186,0.189,1
0.8592,0.8592,0.8513,0.187,0.193,1
0.7888,0.7888,0.2802,0.157,0.164,1
0.9834,0.9834,0.6498,0.187,0.196,1
0.9376,0.9376,0.5216,0.113,0.162,1
0.9303,0.9303,0.736,0.189,0.195,1
0.8958,0.8958,0.792,0.139,0.153,1
0.8592,0.8592,0.8513,0.186,0.19,1
0.907,0.907,0.7737,0.196,0.182,1
0.8851,0.8851,0.8093,0.134,0.173,1
0.8134,0.8134,0.32,0.187,0.191,1
0.8865,0.8865,0.8071,0.187,0.195,1
0.9177,0.9177,0.4892,0.196,0.189,1
0.9263,0.9263,0.7425,0.204,0.198,1
0.9143,0.9143,0.7619,0.197,0.186,1
0.925,0.925,0.7446,0.187,0.194,1
0.9064,0.9064,0.7748,0.187,0.211,1
0.8778,0.8778,0.8211,0.192,0.192,1
0.7603,0.7603,0.2338,0.183,0.18,1
0.8831,0.8831,0.8125,0.2,0.183,1
0.909,0.909,0.7705,0.191,0.189,1
0.8811,0.8811,0.8157,0.186,0.195,1
0.8499,0.8499,0.8664,0.189,0.188,1
0.7749,0.7749,0.2575,0.187,0.216,1
0.9236,0.9236,0.4989,0.191,0.187,1
0.9124,0.9124,0.7651,0.193,0.192,1
0.923,0.923,0.7478,0.193,0.19,1
